,review_id,created_at,user_id,restaurant_id,content,updated_at
17064,17064,3.15.금,10306,54,1인 코마찌 사시미코스시켰는데 회들이 진짜 싱싱하 고 살살 녹아요!!!! 아니 회뿐만 아니라 다른 메뉴들도 너무 다 맛있어서 진짜 미쳤다 말 나왔어요!!! ...,
17065,17065,3.19.화,10307,54,"아이들없이 신랑하고 둘만 일식 먹으려고 방문했는데 메뉴 나올때마다 너무 맛있어서 애들 데리고 올 걸하고 생각했어요🤣 회가 신선하고 코스 구성이 정말 좋았어요 열기조림은 집에 싸들고 와서 애둘 먹이고 싶은 맛이에요❤️ 샹선도 크고 살이 많았고, 양념의 감칠맛이 좋았어요🤤 간장베이스지만 전혀 짜지 않았어요 이거 쓰면서도 또 먹고 싶어용🤣",
17066,17066,23.10.1.일,10308,54,숙성 사시미 정말 쫀득하고  입에서 살살녹아요. 사장님이 음식 내주시면서 다설명해주셔서 기분좋게 접대받는 느낌으로 먹었답니다. 룸이 크고 접시와 그릇들이 고급스러워서 특별한 날이나 접대로 딱일듯요^^ 열기조림은 양념이 너무맛있었고 살도 엄청많아서 배부르더라구요. 버터전복구이도 쫀득쫀득 너무 굿~ 개인적으로 크림새우가 가장맛있었어요. 빠삭빠삭하고 새우도 토실토실~ 크림소스도 내스타일~♡ 마끼와 조개국물도 없으면 섭하지요. 후식 매실차는 직접담군 매실청맛~ 소화잘되는 매실차 맛의 깊이가 달랐어요.,
17067,17067,23.10.1.일,10309,54,푸짐한 양에 퀄리티 높은 메뉴들로만 구성되어 있어서 손이 가지 않는 스끼다시 가짓수만 채우는 곳과는 차원이 다른 곳이네요 !  코마찌사시미코스 2인인데 양은 3인 넘게 먹어도 배부를 것 같아요 열기 조림진짜 맛있고 회도 쫄깃하고 참치까지 나와서 대만족. 전복구이 소금위에 올려나오는 것도  누굴 데려가도 좋아할 것 같아요 룸식당이라 대화하기 좋고  외식하거나 모임하기 좋을 것 같아요,
17068,17068,23.7.29.토,10310,54,일식집 중에 단연코 1등 최애 맛집입니다. 사장님이자 주방장님이신데 처음부터 끝까지 직접 요리하시는 부분이 너무 좋았어요.  특히나 사시미 기가막힙니다.. 양도 적은편이 아닌데 가성비 너무 좋아요.  부모님 모시고 다시 방문 할 예정입니다 :),
17069,17069,23.10.12.목,10311,54,처음방문 했는데 너무 만족하고 가네요 이런 리뷰 처음인데 주변에 너무 알리고싶은  가게네요 진심으로 잘 먹었습니다~~,
17070,17070,23.7.27.목,230,54,이보다 더 완벽할수없는 곳! 요즘 정통 일식집은 찾아볼수없는데 완젼 행벅해또ㅓ,
17071,17071,23.12.21.목,10312,54,회식,
17072,17072,23.6.22.목,10313,54,사업상 이야기 할 곳을 찾고있었습니다 룸으로 되어있어 편합니다 사장님도 친절하시고 코스 요리도 훌륭했습니다 같이 가신분들도 만족하시고 다음에는 사시미 좋아하시는 부모님과 방문하겠습니다,
17073,17073,23.2.13.월,1338,54,정말 맛있어요 예약할때 세꼬시 예기드렸더니 정말 도다리세꼬시 해주실줄 몰랐어요 감동입니다.후회없는 곳이네요 친구들도 감동ㅋㅋ 또 갑니다 ㅎㅎㅎ,
17074,17074,23.6.1.목,4960,54,,
17075,17075,23.4.18.화,10314,54,"지인과갔다,넘좋아서요번엔가족과방문했네요.음식도맛나고,분위기도좋고,사장님도좋으시고.^^ 가족들모두맛있게먹고,즐건시간보내고왔네요.사장님번창하세요.^^",
17076,17076,23.1.20.금,10315,54,가족모임 했는데 와 너무 좋네요~~  이런 좋은데가 있는줄~~^^ 동생한테 너무감사하네요 덕분에 좋은곳 알았네요 신년회 예약하겠습니다~~♡,
17077,17077,23.2.2.목,10316,54,친구소개받아서 방문 했는데 깜놀 했습니다 정말 너무 잘먹었습니다 일식집에서 배부르게 먹고 가는건 첨이네요 사장님 너무 친절하시고 아이들 먹을꺼도 잘 챙겨주시고 잘 먹고갑니다~~ 꼭 다시갑니다 ㅎㅎㅎ,
17078,17078,23.1.19.목,355,54,오랜만에 왔더니 더욱더 좋아졌네요 부모님도 너무 만족하시고 뿌듯했습니다 사장님 정말 친절하시네요 잘 먹고갑니다~~^^,
17079,17079,23.1.30.월,1338,54,"너무너무 맛있네요 ~~~^^ 사장님 너무 친절하시고 방어회 대박이였습니다 조림.전복, 정말 너무 만족하고 갑니다 대박나세요~~^^",
17080,17080,23.4.19.수,10317,54,2번째 방문인데 오늘도 너무 잘 먹었어요 ~~^^ 음식 잘나오고  직원분 너무 친절해요 추천합니다~~ 담에 또 방문 약속합니다,
17081,17081,23.3.28.화,10317,54,소개 받아서 아주 좋은곳을 알게 되었네요 사장님 너무 친절히 잘해주시네여 리뷰 첨 써보는데 너무 잘먹어서 감사합니다   다시 방문할 생각 있습니다,
17082,17082,23.2.18.토,10315,54,"멋진음식먹느라~~정신줄밖에두고먹었더니.사진찍는걸깜빡했네요~즐거운분위기로즐기느라~~사장님께더죄송하네요^^,같이모인친구들~다들맛있고.첨보는요리두먹는다고.이곳을추천한제가~~으쓱으쓱해짐~~모임이나..즐겁고.진짜맛난음식찾으신다면..이곳을추천합니다~~ 꼭!!!!꼭!!!!꼭!!!!이곳에서드셔보세요~~~후회없을겁니다~~ 맛있게잘먹었습니다!!",
17083,17083,22.11.12.토,1321,54,지인들과 조용히 저녁식사할일이 있어서 알아보던중  일식이 낫겠다해서 우연히 가게된 집이었는데 모두들 너무 만족 스러워했습니다  룸도 고급스럽고 음식들도 맛있고 직원분들도 친절했네요 조만간 또 갈듯,
17084,17084,23.1.10.화,10318,54,정말 만족하고 갑니다 사장님눈치보느라 사진을 못칙은게 아쉽~~ 음식 너무 맛있네요 제방문 의사 100프로 입니다~!!,
17085,17085,23.3.9.목,1321,54,오랜만에 좋은일 생겨서 일식이 생각나서 방문했는데 여전히 음식 깔끔하고 사장님 친절하셔서 너무 기분좋은 저녁식사 였네요 번창하세요,
17086,17086,23.3.22.수,10314,54,"분위기도좋고,음식도넘~맛나고,좋았어요.지인과갔는데,나중에가족들과재방문하고싶네요.사장님.번창하세요.^^",
17087,17087,22.11.14.월,5962,54,전에 맛있게 잘 먹어서  모임 장소로 다시 선택해 재방문 했어요. 역시!! 맛있어요!! 뜨끈뜨끈 오뎅꼬치 또 먹고싶네...,
17088,17088,23.2.1.수,1338,54,너무 맛있게 음식 잘하네요~ 우연히 알게 됐는데 좋은가게 발견한 기분이드네요~ 사잠님 너무 친절하시고 음식 대박 맛있어요~ 인정합니다^^,
17089,17089,22.11.2.수,7721,54,소개 받아서 갔는데 너무 최상의 맛을 보고 느끼고 갑니다 사장님 너무 친절하시고 너무 감사하게 잘먹고 갑니다~~^^ 여기 찜 하겠습니다 부모님 모시고 다시 오겠습니다~~,
17090,17090,22.8.31.수,10319,54,진짜 너무 맛있다~~ 라는 말이 수십번 나온거 같네요. 부모님이 일식을 좋아하셔서 부모님 아이들과 함께 방문했는데 부모님보다 애들이 더 맛있게 먹네요 ㅋㅋ 아이들이 이것저것 물어봐도 친절하게 대답해주신 여자실장님?? 너무 감사했습니다. 입에서 살살녹는다는 표현이 딱 맞는표현같습니다. 진심 너무너무 맛있어요~ 앞으로 가족모임은 코마찌로 결정~ 맛은 최고 친절또한 최고였습니다..,
17091,17091,23.2.17.금,10320,54,가게 인테리어도 넘 예쁘고 음식도 맜있어용 ❤️,
17092,17092,22.9.9.금,2121,54,음식이 모두 맛있고 신선한 재료를 쓰시는게 느껴졌어요 음식도 다양하고 제 입맛에 딱이었어요. 무엇보다 회가 신선하고 너무 맛있었구요 친구들과 오랜만에 만나서 할 얘기도 많았는데 룸이 너무 편안하고 분위기도 좋아서 신나게 먹고 떠들다 왔네요. 곧 학부모 모임도 꼬마찌로 예약하려고 합니다.,
17093,17093,22.10.15.토,355,54,넘 맛있어서 사진을 못찍었네요~~~~^^ 여기 정말 줗네요 2번째 왔는데 사장님이 기억해주시고 오뎅탕도 서비스 주시고 자주 오겠습니다 ~~~♡,
17094,17094,22.9.1.목,10321,54,광진구 근처 맛나는 일식집 찾다가 소개받고 가봤는데~ 소문대로 주방장님 커리어가 말해주듯 음식 퀄리티들이 매우 만족스러웠습니다~ 음식 양도 개인적으로 많다고 느껴졌고~ 여럿이 가서 먹었는데~ 모두 만족스럽다고 하니 제가더 쁘듯하더라구요~ 종종 모임 있을때 자주 들를 예정입니다~ 실장님도 매우 친절하시고 서브 봐주시는 이모님도 친절하셔서 기분좋게 먹고 왔습니다~^^,
17095,17095,22.11.10.목,5962,54,음식들이 모두 다 너무 맛있어요 지인들과 모임을 했는데 다들 만족해 하며 먹었네요. 룸이라 모임하기에 딱 좋은 곳이네요,
17096,17096,22.11.14.월,355,54,3번째 왔다 갑니다 부모님 대만족하고 갑니다 너무 맛있고 싱싱합니다 당골됐어요~~^^사장님 너무친절하네요 ~~ 잘 먹고 갑니다~~~,
17097,17097,22.7.9.토,10322,54,여자친구 생일이여서 장소찾다가 우연히 알게된곳 음식 너무 잘먹고 사장님 엄청 친절하시네요 부모님 모시고 가고싶네요 너무 좋은곳 맛집 인정합니다~~~~~!!,
17098,17098,22.6.25.토,10323,54,지인소개 받아서 부모님 모시고 갔는데 우리 부모님이 너무 좋아하시네요 저도 너무 좋았어요~~~^^  음식도 너무 맛있고 사장님 너무 친절하시네요 추천합니다 강추요 ~~~~~~,
17099,17099,22.6.25.토,10324,54,너무 맛있고 여긴정말 최고의 맛과 장소군요 정말 정말 인정합니다 뎃글 잘 안하는데 여기. 너무 좋았어요 후회 없는곳~~ 인정합니다,
17100,17100,22.6.19.일,10325,54,여긴 나의숨겨진 맛집입니다. 정말 인정하는곳! 너무 맛있고 조용해서 더욱 추천맛집!!^^ 사장님 너무 친절하시고 서비스도 잘해주시네요 엄지척 입니다~~^^,
17101,17101,22.5.7.토,1751,54,오늘 가족끼리 기본 사시미코스 6만원짜리 먹으러 갔는데 사장님도 친절하시고 코스요리도 너무 맛있었어요!! 가족이 너무 화목해보인다며 서비스로 초밥도 주셨어요 사장님 짱!,
17102,17102,22.9.1.목,10326,54,"오랜만에 편하게 넘 맛있게 먹었네요..,  일식 깔끔하고 입에 착착.ㅋ  사장님도 너무 친절 하시네요 서빙해주시는분도 굿굿",
17103,17103,22.5.13.금,355,54,리뷰첨해보는데요 정말 너무 너무 맛있어요 사장님 너무 친절하시고요 어머니가 네기도로 좋아한다고 말만했는데 바로 김밥처럼 가져다주셔서 감동했어 요 정말 진심으로 추천합니다~~~,
17104,17104,22.5.6.금,10327,54,진짜 이곳은 갈때마다 실패가 없네요. 매번 쥔장이 맛있는것만 해줘서 팍팍 살쪄서 갑니다. 재료도 너무 신선하고 너무너무 맛있네요.단체 모임하기도 좋고 앞으로 자주가게 생겼네요.,
17105,17105,22.5.4.수,10328,54,우연히 방문했다가 알게된곳인데 단체 모임하기에 너무좋아요 코로나로 지치고 힘들었는데 부모님 생신때 온가족이 모여서 아주 맛있는 식사하고 오신분들 모두 만족하시고 돌아가셨어요. 오신분들도 모두 맛있었다고 엄지척하고 또 방문할게요.,
17106,17106,22.9.9.금,10329,54,,
17107,17107,22.5.7.토,10330,54,"넘 맛있었어요 !! 뭣보다도 너무 신선해요 ㅎㅎ 사장님 친절하시구 홀이모님 넘 유쾌하셔요 !  모임 , 회식에 좋아요 ^^ 재방문할게용 ~~~!!",
17108,17108,22.5.10.화,10331,54,맛있게 잘먹고 왔어요 ~ 무엇보다 신선해서 정말 좋았습니다,
17109,17109,22.1.2.일,10332,54,고급스런음식과. 신선해서 맛있어요,
17110,17110,22.1.5.수,9563,54,룸이있으니 손님접대 좋을듯요,
17111,17111,21.5.6.목,10333,54,정말 핵존맛입니다,
17112,17112,21.5.26.수,10334,54,좋아요,
17113,17113,20.9.14.월,10335,54,맛있어요,
17114,17114,20.1.20.월,5614,54,좋아요,
17908,17908,1.3.수,10581,59,자주 가는 맛집에요 고기 두툼하고 퀄리티 좋구요 정 말 맛잇어요 메뉴 다양한데 진짜 다 맛잇어요! 아우 리뷰 쓰면서 또 먹고 싶네요. 그리고 여자분 직...,
17909,17909,3.21.목,10582,59,"맛있어요 고기도 구워주셔서 좋아요 제주도에서 웨이팅해서 먹은 맛집보다 맛있어요.,.ㅎㅎ🥹",
17910,17910,1.5.금,10583,59,친구들과 갔다가 너무 맛있어서 신랑이랑 바로 또 갔네요. 또간집 찍었어요~^^ 신랑이 고기 좋아하는데 새로운 맛집 찾았다고 데려가니까 너무 좋아하네요~ 1번 가서 맛났던 집 또 가면 그 맛이 아닐때도 간혹 있는데 … 여기는 두툼한 고기와 육즙이 그대로였어요~ 친절하신 사장님이 구워주신 고기도 그대로였구요~ 고기감별사 남편이 극찬하네요. 옆 테이블 이야기가 슬쩍 들리는데 동네 맛집으로 유명한가봐요~ 일리 있어 ~ 일리 있어~ 가까우면 진짜 자주 올 듯합니다.,
17911,17911,1.5.금,10584,59,가족들과 같이 방문 했어요 고기판을 돌려 가면서 고기 구워 주시는 스킬이 너무 환상 입니다 친절한 응대와 맛난 음식 먹으면서 즐거운 시간 보냈네요 고기 좋아하는 울딸도 너무 맛나게 잘 먹고 왔습니다,
17912,17912,1.5.금,10585,59,도톰촉촉한 고기가 땡겨서 인근주민 추천 받아서 갔었는데 요기는 사이드로 주는 어리굴젓이 짱맛이네요 ^^ 사장님 너무 친절하시고  뚝배기 뚫고 나오려는 소복한 계란찜이 아주 뜨끈뜨끈하니 맛있었어요 제주도에서나 볼법한 메뉴들이 있던데 담에 또 다른 메뉴들 먹어보러 가야겠어요,
17913,17913,1.5.금,10586,59,육즙 터지는 고기에 반주 한 잔♡ 맛있는 고기 먹고 싶을 때 생각나는 집^^  계란찜이랑 곁들임 음식까지 다 맛있어서 배뿡 되지만 기분 좋게 뿌듯함~  가족들 친구들 델꼬 떠 먹으러 가야징!!!,
17914,17914,1.3.수,10583,59,내돈 내산 후기~ 워커힐 호캉스할 때 근처 맛집이 애매해서 추천 받은 곳이예요. 돼지고기 맛이 거기서 거기겠지~ 했는데 그게 아니네요. 육질이 탱글하고 쫀득해서 씹는 맛이 예술이고 육즙도 살아있어요. 게다가 무려 직접 구워주십니다. 소고기도 아닌 돼지고기를…이 가격에 실화인가요? 진짜 단체모임으로도 너무 좋을 거 같아요. 연예인 가끔 출몰한다고 유명하던데 …여기는 사장님 부부(?)도 연예인 같으시네요~ 기대했던 거 보다 눈도 귀도 입도 즐거운 자리여서 더욱 기억에 남을 거 같네요.,
17915,17915,3.22.금,7057,59,굿,
17916,17916,1.26.금,10587,59,"음식이 맛있어요 고기도 맛있고 멍게비빔밥 맛있어요 감굴,땅콩막걸리도 있어요",
17917,17917,23.12.14.목,6945,59,굿,
17918,17918,23.8.5.토,357,59,오랜만에 애육당. 삼겹살 맛있어요,
17919,17919,23.7.21.금,3687,59,사장님과 직원분들이 친절해요 그럭저럭 먹을만 했어요.,
17920,17920,23.2.12.일,10588,59,워커힐 숙박하면서 호텔식이 싫어서 검색하다가 찾았는데 삼겹살 항정살 먹었는데 제주도에서 먹었던것 만큼 맛있어요 고기를 다 구워줘서 좋았고 추가 반찬들도 빨리 친절하게 주시구요 된찌는 조금 고기집 된찌 만큼 짜지 않아서 더좋았구요 아쉬운건 비빔냉면이 조금... 그럼에도 워커힐 오면 다시 찾아갈것 같아요 주차장이 없어서 주위 알아서 주차해야해서 워커힐에서 숙박하면 걸어서 갈 수 있어요,
17921,17921,23.1.28.토,10589,59,제주도에서 먹은 고기보다 맛있었어용 번창하세툐,
17922,17922,22.8.18.목,10590,59,고기가 맛있어요! 계란찜도 맛있구요,
17923,17923,23.1.15.일,10591,59,굿,
17924,17924,22.9.18.일,10592,59,여기 결제할때 요금잘보고결제하세요!!! 먹지도않은 소시지 8천원 추가결제 해놓고 나중에확인해서 전화 하니깐 사과한마디없이 영수증들고오라고 합...,
17925,17925,22.8.17.수,3478,59,가족이랑 월 2ㅡ3회는 가는 곳입니다. 넘넘 맛있어요ㅠ 다른데서 흑돼지를 먹을수가 없어요 남자애 2명이랑 가는데 직원분 사장님 귀찮아하지 않으시고 꼼꼼히 챙겨주십니다  고기 된장 비빔 항상 먹는데 넘나 맛있어요^^,
17926,17926,22.11.8.화,7171,59,고기정말 맛집,
